Name	Parent	Power Disapation (W)	Throughput Rating (W)	Throughput Used (W)	% Capacity
Batteries		0		6120	
Victor SP Front Left	Batteries		960	1020	106.25
Victor SP Middle Left	Batteries		960	1020	106.25
Victor SP Back Left	Batteries		960	1020	106.25
Victor SP Front Right	Batteries		960	1020	106.25
Victor SP Middle Right	Batteries		960	1020	106.25
Victor SP Back Right	Batteries		960	1020	106.25
Front Right Wheel	Victor SP Front Right	1020		1020	
Middle Right Wheel	Victor SP Middle Right	1020		1020	
Back Right Wheel	Victor SP Back Right	1020		1020	
Front Left Wheel	Victor SP Front Left	1020		1020	
Middle Left Wheel	Victor SP Middle Left	1020		1020	
Back Left Wheel	Victor SP Back Left	1020		1020	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
	DO NOT PASS				
